소재지전체주소,도로명전체주소,사업장명,의료기관종별명,의료인수,입원실수,병상수,진료과목내용명
,서울특별시 금천구 독산로 362 (독산동),실버한방병원,한방병원,28,62,237,"내과, 신경과, 정신건강의학과, 영상의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 동작구 노량진동 311번지 8호 외 4필지,서울특별시 동작구 장승배기로 108 (노량진동),청화병원,병원,44,30,53,"산부인과, 소아청소년과"
서울특별시 동작구 상도1동 614번지 1호,서울특별시 동작구 양녕로 283 (상도1동),정동병원,병원,18,17,59,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
서울특별시 동작구 흑석동 224번지 1호,서울특별시 동작구 흑석로 102 (흑석동),중앙대학교병원,종합병원,1319,205,797,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치과보존과"
서울특별시 동작구 사당동 1042번지 12호 3층,"서울특별시 동작구 동작대로 13, 3층 (사당동)",따뜻한치과병원,치과병원,4,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과"
서울특별시 동작구 신대방동 686번지 1호,서울특별시 동작구 시흥대로 634 (신대방동),의료법인에이치엠피의료재단녹십초요양병원,요양병원(일반요양병원),34,32,185,"내과, 신경과, 외과, 재활의학과, 가정의학과, 한방내과, 한방안·이비인후·피부과, 한방재활의학과, 침구과"
서울특별시 동작구 상도동 255번지 4호,"서울특별시 동작구 성대로 43 (상도동, 우리빌딩)",연세제일요양병원,요양병원(일반요양병원),3,29,111,"내과, 신경과, 정형외과, 신경외과, 영상의학과, 병리과, 재활의학과, 침구과"
서울특별시 동작구 사당1동 1008번지 17호 삼인빌딩,서울특별시 동작구 동작대로 67 (사당동),더본병원,병원,21,9,41,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
"서울특별시 동작구 사당동 147번지 29호 3층 및 2,4층 일부","서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)",연세바른병원,병원,37,10,45,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과"
서울특별시 동작구 신대방동 358-3,"서울특별시 동작구 여의대방로22길 98, 1,2,3,5층 (신대방동)",기분좋은한방병원,한방병원,9,13,48,"내과, 정형외과, 산부인과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 동작구 사당동 138번지 3호 사당동 주상복합,"서울특별시 동작구 동작대로27다길 26, 2층 (사당동, 사당동 주상복합)",내이처럼치과병원,치과병원,5,0,0,"내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치과보존과, 통합치의학과"
서울특별시 구로구 구로동 44번지 7호 고려 수 타워,"서울특별시 구로구 공원로6가길 4, 고려 수 타워 (구로동)",의료법인 서울효천의료재단 에이치플러스자립병원,병원,54,39,142,"내과, 산부인과, 재활의학과"
서울특별시 구로구 고척동 324 신원프라자,"서울특별시 구로구 중앙로1길 18-18, 2층 (고척동, 신원프라자)",아나파한방병원,한방병원,14,17,55,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 구로구 구로동 1126번지 34호 금강빌딩,"서울특별시 구로구 시흥대로 547, 금강빌딩 지하1,2~10층(구로동), 디지털로32가길 25, 티타운빌딩 B102,103,205,206,302 (구로동)",참튼튼병원,병원,61,12,56,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 재활의학과, 가정의학과, 직업환경의학과"
,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)",예스병원,병원,42,12,58,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
,"서울특별시 구로구 새말로 60, 제중요양병원 지하2,동 1~9층 (구로동)",재단법인 제중의료복지재단 제중요양병원,요양병원(일반요양병원),42,78,296,"내과, 신경과, 외과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과"
서울특별시 동작구 신대방동 425번지,서울특별시 동작구 보라매로5길 20 (신대방동),서울특별시보라매병원,종합병원,1071,207,765,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과"
,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",삼성미래여성병원,병원,20,33,51,"외과, 마취통증의학과, 산부인과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과"
"서울특별시 구로구 구로동 586-5 삼전 솔하임 2~10층, 11층일부","서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)",의료법인 우리아이들 의료재단 우리아이들병원,병원,75,54,73,"내과, 정신건강의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과, 소아치과, 구강내과"
,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",아름제일병원,병원,50,44,97,"내과, 외과, 정형외과, 신경외과, 산부인과, 소아청소년과, 영상의학과"
,서울특별시 구로구 중앙로 100 (고척동),연세사랑모아여성병원,병원,10,17,31,"성형외과, 산부인과, 피부과"
,"서울특별시 구로구 중앙로 91, 본소클리닉스 (고척동)",목동현대요양병원,요양병원(일반요양병원),19,20,99,"신경과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 사상체질과, 침구과"
,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",고려대학교의과대학부속구로병원,종합병원,1964,292,1081,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 예방치과"
서울특별시 구로구 고척동 76번지 189호 구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",구로성심병원,종합병원,193,47,202,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 직업환경의학과, 응급의학과"
서울특별시 구로구 개봉동 353-2 구로다나병원빌딩,"서울특별시 구로구 개봉로 126, 구로다나병원빌딩 (개봉동)",의료법인다나의료재단구로다나병원,정신병원,15,38,167,"내과, 신경과, 정신건강의학과, 마취통증의학과, 소아청소년과, 영상의학과, 가정의학과"
,서울특별시 구로구 새말로 110 (구로동),마루치과병원,치과병원,2,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과"
서울특별시 구로구 가리봉동 137번지 8호 정성요양병원,"서울특별시 구로구 남부순환로 1287, 정성요양병원 2.3.5층 남부순환로 107길 24동 (가리봉동)",의료법인 어울림의료재단 정성요양병원,요양병원(일반요양병원),45,72,330,"내과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 재활의학과, 가정의학과, 한방내과, 침구과"
서울특별시 구로구 개봉동 43번지 1호,"서울특별시 구로구 고척로21나길 88-41 (개봉동, 미소들병원)",의료법인 미소들노인전문병원,요양병원(노인병원),80,96,405,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,서울특별시 성북구 종암로 72 (종암동),로덴치과병원,치과병원,1,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과"
서울시 성북구 장위3동 50-50,서울특별시 성북구 화랑로 271 (장위동),의료법인유라의료재단 온누리요양병원,요양병원(일반요양병원),40,40,210,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 침구과"
,서울특별시 성북구 동소문로47길 8 (길음동),서울척병원,병원,150,23,99,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과, 재활의학과, 가정의학과"
,서울특별시 성북구 보문로 46 (보문동7가),보문효사랑요양병원,요양병원(일반요양병원),30,37,184,"내과, 신경과, 외과, 정형외과, 신경외과, 소아청소년과, 이비인후과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
서울특별시 성북구 정릉동 16번지 486호 외2필지,서울특별시 성북구 동소문로 215 (정릉동),새마음요양병원,요양병원(일반요양병원),24,37,188,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 한방내과"
,서울특별시 성북구 북악산로1길 71 (정릉동),의료법인참예원의료재단 성북참요양병원,요양병원(일반요양병원),46,60,200,"신경과, 정신건강의학과, 외과, 소아청소년과, 재활의학과, 가정의학과, 한방내과, 침구과"
,서울특별시 성북구 동소문로 306 (하월곡동),동서요양병원,요양병원(일반요양병원),24,27,150,"내과, 신경과, 정형외과, 신경외과"
서울특별시 성북구 보문동4가 18번지,서울특별시 성북구 보문로 86 (보문동4가),성북웰니스요양병원,요양병원(일반요양병원),31,37,181,"내과, 신경과, 외과, 마취통증의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
,서울특별시 성북구 아리랑로 16 (동선동4가),더서울병원,병원,30,16,58,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
,서울특별시 성북구 종암로 31 (종암동),성북서울요양병원,요양병원(일반요양병원),54,68,352,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 침구과"
,서울특별시 성북구 동소문로46길 10 (하월곡동),성북우리아이들병원,병원,69,52,78,"내과, 정신건강의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과"
,"서울특별시 송파구 송이로 156, 태정타워 (가락동)",강남센트럴요양병원,요양병원(일반요양병원),28,32,142,"내과, 신경과, 정신건강의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
서울특별시 성북구 안암동5가 126번지 1호 고려대병원,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),종합병원,1941,270,1056,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과"
서울특별시 성북구 하월곡동 88번지 526호,서울특별시 성북구 종암로 191 (하월곡동),사회복지법인 성가소비녀회 성가복지병원,병원,23,13,33,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 치과"
,서울특별시 성북구 안암로 99 (안암동5가),의료법인 우신향병원,병원,28,29,80,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 비뇨의학과, 영상의학과, 재활의학과"
서울특별시 송파구 풍납동 388번지 1호 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",재단법인아산사회복지재단 서울아산병원,종합병원,5802,1003,2768,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과"
서울특별시 송파구 문정동 17-5 인애가한방병원,"서울특별시 송파구 문정로 65, 인애가한방병원 1,2,4,5,6층 (문정동)",의료법인일맥의료재단 송파인애가한방병원,한방병원,10,13,31,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과"
서울특별시 송파구 석촌동 174번지 13호 한솔병원,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)",한솔병원,병원,60,31,72,"내과, 외과, 마취통증의학과, 영상의학과, 가정의학과, 치과"
,서울특별시 송파구 오금로 290 (가락동),서울병원,병원,48,30,93,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 영상의학과, 병리과, 직업환경의학과, 치과"
,"서울특별시 송파구 중대로 68 (문정동, 훼밀리샤르망 505호)",수치과병원,치과병원,1,0,0,"치과보철과, 치주과, 치과보존과"
서울특별시 송파구 삼전동 38-5,서울특별시 송파구 삼전로2길 11 (삼전동),강남수병원,병원,7,11,31,"정형외과, 성형외과, 마취통증의학과, 가정의학과"
,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",뉴스타트병원,병원,17,43,141,"내과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 영상의학과"
서울특별시 송파구 가락동 121번지 2호 마리아 의료재단 새병원,"서울특별시 송파구 송이로 152, 마리아 의료재단 새병원 (가락동)",의료법인마리아의료재단마리아병원,병원,38,10,30,산부인과
서울특별시 송파구 송파1동 20번지 8호 지하2층~지상7층,"서울특별시 송파구 백제고분로 407 (송파동, 지하 2층~7층)",강남힘찬병원,병원,27,18,79,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과"
,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",경찰병원,종합병원,336,98,377,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 치과보철과, 치주과"
,서울특별시 종로구 삼청로10길 13 (삼청동),서울지구병원,병원,66,11,30,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과"
서울특별시 종로구 평창동 158-1 글로리아타운,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",로이병원,병원,19,32,131,"내과, 신경과, 소아청소년과, 피부과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방재활의학과"
서울특별시 종로구 숭인동 200번지 26호 진형빌딩,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",서울숭인병원,병원,19,29,114,"내과, 신경과, 소아청소년과, 재활의학과, 가정의학과, 한방내과, 사상체질과, 침구과"
서울특별시 송파구 가락동 57번지 B3-6층,"서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)",송파드림재활병원,병원,83,57,207,"내과, 신경과, 마취통증의학과, 재활의학과, 가정의학과"
서울특별시 송파구 잠실동 175-6 J타워,"서울특별시 송파구 올림픽로 76, J타워 3~7층 (잠실동)",선수촌병원,병원,47,13,53,"정형외과, 신경외과, 마취통증의학과, 재활의학과"
서울특별시 종로구 연건동 28,서울특별시 종로구 대학로 101 (연건동),서울대학교병원,종합병원,3708,562,1791,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 치과"
서울특별시 종로구 무악동 32번지 2호,서울특별시 종로구 통일로 256 (무악동),세란병원,종합병원,166,65,204,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과, 치과"
,서울특별시 종로구 대학로 101 (연건동),서울대학교치과병원,치과병원,250,15,40,"마취통증의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과"
서울특별시 양천구 목동 911번지 1호,서울특별시 양천구 안양천로 1071 (목동),이화여자대학교의과대학부속목동병원,종합병원,1358,218,711,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과"
,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",홍익병원,종합병원,248,75,260,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과, 치과"
,"서울특별시 송파구 오금로 513, 위례빌딩 (거여동)",송파미소병원,정신병원,19,48,201,"정신건강의학과, 가정의학과"
,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)",미래본병원,병원,37,14,44,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
서울특별시 송파구 마천동 26번지 11호 보은빌딩,"서울특별시 송파구 마천로 227, 보은빌딩 (마천동)",더사랑요양병원,요양병원(일반요양병원),22,23,123,"내과, 신경과, 산부인과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
서울특별시 송파구 송파동 20번지 7호 유니온테크송파빌딩,"서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)",빠른병원,병원,17,22,119,"내과, 정형외과, 성형외과, 영상의학과, 응급의학과"
서울특별시 송파구 신천동 11-7 사단법인 서울특별시 교통회관,"서울특별시 송파구 올림픽로 319, 사단법인 서울특별시 교통회관 2층 (신천동)",케이치과병원,치과병원,1,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과"
,서울특별시 송파구 송이로 148 (가락동),서울석병원,병원,29,11,45,"내과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과"
서울특별시 송파구 거여동 559번지 5호 삼원빌딩,"서울특별시 송파구 오금로 488, 삼원빌딩 (거여동)",송파새희망요양병원,요양병원(일반요양병원),16,29,136,"내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
서울특별시 종로구 평동 108,서울특별시 종로구 새문안로 29 (평동),강북삼성병원,종합병원,946,179,720,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과"
,서울특별시 송파구 중대로 122 (가락동),혜민안과병원,병원,17,11,32,"안과, 영상의학과, 병리과"
서울특별시 송파구 문정동 640-3 한스빌딩,"서울특별시 송파구 정의로8길 7, 한스빌딩 1~4층 (문정동)",민트병원,병원,52,16,31,"내과, 외과, 산부인과, 영상의학과"
"서울특별시 송파구 송파동 135번지 3호 4,14,15","서울특별시 송파구 백제고분로 436 (송파동, 서재곤링커병원)",서재곤링커병원,병원,38,22,66,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
"서울특별시 중구 순화동 1-170 케이지타워 1,2,8층","서울특별시 중구 통일로 92, 케이지타워 1,2,8층 (순화동)",광화문자생한방병원,한방병원,32,10,50,"내과, 영상의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
"서울특별시 중구 흥인동 86 리마크빌 동대문 2,3층","서울특별시 중구 다산로 258, 리마크빌 동대문 2,3층 (흥인동)",참바로병원,병원,28,11,57,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과"
서울특별시 서대문구 연희동 192번지 32호,서울특별시 서대문구 성산로 335 (연희동),강북연세요양병원,요양병원(일반요양병원),26,33,198,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 산부인과, 이비인후과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과"
,서울특별시 서대문구 성산로 365-14 (연희동),의료법인제민의료재단동서병원,병원,2,7,33,"내과, 영상의학과, 진단검사의학과"
서울특별시 은평구 역촌동 산 31번지 1호,서울특별시 은평구 갈현로7길 49 (역촌동),서울특별시서북병원,병원,178,105,375,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 심장혈관흉부외과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 구강내과"
,서울특별시 용산구 대사관로 59 (한남동),순천향대학교 부속 서울병원,종합병원,1280,175,727,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 예방의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과"
서울특별시 용산구 이촌동 301번지 165호,서울특별시 용산구 이촌로 318 (이촌동),금강아산병원(재단법인 아산사회복지재단),병원,60,14,48,"내과, 외과, 정형외과, 마취통증의학과, 산부인과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",최원호병원,병원,46,18,90,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과, 가정의학과"
서울특별시 은평구 녹번동 27번지 6호,서울특별시 은평구 통일로 669 (녹번동),연세에덴요양병원,요양병원(일반요양병원),43,34,177,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
,"서울특별시 은평구 은평로 170, 6층,7층,8층 (응암동, 상현빌딩동)",한국효요양병원,요양병원(일반요양병원),44,32,247,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방재활의학과, 사상체질과, 침구과"
"서울특별시 은평구 신사동 8번지 5호 2층 201,202호","서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)",21C메트로한방병원,한방병원,3,9,32,"내과, 재활의학과, 한방내과, 한방부인과, 한방소아과"
,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)",의료법인 성누가의료재단 성누가병원,병원,19,10,30,"내과, 정형외과, 한방내과, 한방부인과, 침구과, 구강내과, 예방치과, 통합치의학과"
,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",리드힐병원,병원,24,15,40,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
,서울특별시 은평구 응암로 164 (응암동),인정병원,병원,48,20,35,"내과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과"
서울특별시 은평구 구산동 191번지 1호,서울특별시 은평구 갈현로11길 30 (구산동),서울재활병원,병원,33,17,80,"내과, 재활의학과"
서울특별시 은평구 대조동 15번지 123호,서울특별시 은평구 진흥로 191 (대조동),서울병원,병원,28,18,55,"내과, 정형외과, 마취통증의학과, 영상의학과"
,서울특별시 은평구 은평로 133 (응암동),본서부병원,병원,27,15,49,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
서울특별시 은평구 녹번동 154번지 19호,서울특별시 은평구 서오릉로 37 (녹번동),연세노블병원,병원,28,21,94,"내과, 신경과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
서울특별시 은평구 응암2동 232번지 3호,서울특별시 은평구 백련산로 90 (응암동),서울특별시은평병원,정신병원,116,41,203,"내과, 신경과, 정신건강의학과, 영상의학과, 재활의학과, 가정의학과, 구강내과"
,서울특별시 은평구 통일로 873 (갈현동),의료법인 청구성심병원,종합병원,167,58,205,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 응급의학과"
서울특별시 서대문구 홍제동 251번지 4호,"서울특별시 서대문구 통일로 442 (홍제동, 제이여성병원)",제이여성병원,병원,20,16,30,"마취통증의학과, 산부인과, 영상의학과"
서울특별시 서대문구 창천동 13-2 준성빌딩,"서울특별시 서대문구 명물길 32, 준성빌딩 2,3층 (창천동)",잎사귀치과병원,치과병원,2,0,0,"소아치과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과, 치과보철과, 치과교정과"
서울특별시 서대문구 남가좌동 102번지 3호,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",가자연세병원,병원,32,12,40,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과"
서울특별시 서대문구 홍은동 437번지 1호,서울특별시 서대문구 통일로 544 (홍은동),효담요양병원,요양병원(일반요양병원),17,23,139,"내과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",성애의료재단 성애병원,종합병원,300,92,258,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과"
