충전소이름,이용가능시간,자세한 위치,주차비,등록일자
송산주공7단지아파트,24시간  ※외부인 개방,입구오른쪽 지하주차장 1층,부가정보없음,2017.10.31 7:43
강동헤르셔,24시간,지하2층 1101동 12번 기둥,입주자,2017.10.31 7:43
한강극동아파트,24시간,108동 지상주차장 노인정 앞,부가정보없음,2017.10.31 7:43
마곡수명산파크1단지,06~23시,105-106동 지하1층 C15 기둥,없음,2017.10.31 7:43
반포미도아파트,24시간,306동 뒤 지상,0,2017.10.31 7:43
한빛아파트,24시간  ※외부인 개방,104동 지상주차장,0,2017.10.31 7:43
처인구코아루아파트,24시간  ※외부인 개방,제5주차장 B1F 5-02,0,2017.10.31 7:43
안성공도KCC스위첸,24시간,114동 B1F B02,부가정보없음,2017.10.31 7:43
제일오투그란데,24시간,1101동 B1F E13,0,2017.10.31 7:43
속초지사,주중/주말 : 09시~18시,지사주차장,부가정보없음,2017.2.27 0:00
경주지사,24시간,사내주차장 후문 우측,충전시 무료,2017.2.27 0:00
상주지사,24시간,지상주차장(북측),충전시 무료,2017.2.27 0:00
북포항지사,24시간,사옥내 주차장,무료,2017.2.27 0:00
울진지사(공용),주중/주말 : 06시~23시,지상주차장(좌측 안쪽),충전시 무료,2017.2.27 0:00
영덕지사,24시간,사옥내 주차장,충전시 무료,2017.2.27 0:00
거제지사,24시간,건물정면 앞 지상주차장,충전시 무료,2017.2.27 0:00
동대문디자인플라자,주중/주말 : 24시간,지하2층 주차장 진입 후 정면,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2017.2.27 0:00
배봉공영주차장,주중/주말 : 24시간,휘경중학교 옆 배봉공영주차장 내,10분당 500원(충전시 1시간 무료),2017.2.27 0:00
e편한세상센트레빌2단지,24시간,지하주차장,없음,2017.7.4 0:00
조원주공뉴타운2단지,24시간,제4주차장 208동앞 1F,0,2017.7.4 0:00
동편마을3단지아파트,24시간,B1F 좌측,무료,2017.7.4 0:00
신동탄SK뷰파크,24시간,지하주차장 입구 우측 방면,부가정보없음,2017.7.4 0:00
중계센트럴파크,24시간,지하1층 우측돌아서 B-14,부가정보없음,2017.7.9 0:00
창동대동 아파트,24시간,지하1층 우측 돌아서 우측 구석자리,부가정보없음,2017.7.9 0:00
창동주공19단지,24시간  ※외부인 개방,1903단지와 상가 사이,부가정보없음,2017.7.9 0:00
부천원미풍림 아파트,24시간,지하주차장,부가정보없음,2017.8.12 0:00
청라SK뷰,24시간,지하 2층 J10,부가정보없음,2017.8.12 0:00
청라자이 아파트,24시간,지하 1층 B18,부가정보없음,2017.8.12 0:00
바흐카운티,미개방,지하3층 입구,없음,2017.8.12 0:00
송림휴먼시아1단지 아파트,미개방,103동주차장 지하2층 44-45구역,없음,2017.8.12 0:00
청라더샵레이크파크,24시간,지하1층 O18,무,2017.8.12 0:00
영종힐스테이트,24시간,아파트 지하주차장,0,2017.8.12 0:00
보배 아파트,24시간,관리사무소 옆 주차장,없음,2017.8.12 0:00
장계면사무소,24시간,면사무소 주차장,무료,2017.9.19 16:25
여서청사 주차장,24시간,(실외완전노출) 주차장 출입구 좌측,0,2017.9.19 16:25
창선대교주차장,24시간,화장실앞 지상주차장,무료,2017.9.19 16:25
광주디자인진흥원,24시간,지하주차장 1층 초입,부가정보없음,2021.11.2 16:59
광주교육대 풍향문화관,24시간,풍향문화관 주차장 내,충전고객 무료(1시간 이내),2021.11.2 17:41
더베일리하우스,24시간,204동 지상주차장,0,2017.10.31 7:43
심곡마을광교힐스테이트,24시간,B2F A119,부가정보없음,2017.10.31 7:43
화성파크드림아파트,24시간,B1F B03,부가정보없음,2017.10.31 7:43
방학금광포란재,24시간  ※외부인 개방,지하1층 들어가자마자 좌측,부가정보없음,2017.10.31 7:43
반곡아이파크 아파트,24시간,"지하주차창 112동, 115동 사이",무료,2017.8.12 0:00
동화3차 아파트,24시간,지하주차장,없음,2017.8.12 0:00
마곡힐스테이트,24시간,지하1층 좌측 C07 기둥,없음,2017.7.4 0:00
서초네이처힐6단지,24시간,지하주차장/B1-19,부가정보없음,2017.7.4 0:00
샘터마을 아파트,24시간,105동 108동 사이 지하주차장,0,2017.7.4 0:00
버드내마을,24시간,147 지하1층 주차장,0,2017.8.12 0:00
동백금호어울림타운하우스 2단지,24시간,B1F C07,부가정보없음,2017.7.4 0:00
동아솔레시티아파트,24시간,"B1 107동 3,4호쪽",부가정보없음,2017.7.4 0:00
동아에코빌 아파트,24시간  ※외부인 개방,107동 앞 지하1층 24번,부가정보없음,2017.7.4 0:00
방학우성1차 아파트,24시간,지하1층 전기실앞(i-1-B9),부가정보없음,2017.7.4 0:00
성지(주상복합) 아파트,24시간,성지아파트 지상주차장,부가정보없음,2017.7.4 0:00
용산시티파크1단지,24시간,용산시티파크1단지아파트 지하,부가정보없음,2017.7.4 0:00
이안용산프리미어,24시간,이안용산프리미어아파트 지하,부가정보없음,2017.7.4 0:00
종로센트레빌,24시간,102동 지하4층주차장 E17기둥,없음,2017.7.4 0:00
구월아시아드선수촌센트럴자이 아파트,24시간,지하2층 33기둥,부가정보없음,2017.7.4 0:00
서창 LH3단지 청아안,24시간,지하 303동 A18번기둥,부가정보없음,2017.7.4 0:00
장기동 KCC 스위첸 아파트,24시간,지하1층 블럭번호 D66,0,2017.7.4 0:00
무실세영리첼1차 아파트,24시간,"지하주차장 102동, 103동 사이",무료,2017.8.12 0:00
포미재 아파트,24시간,주차장,없음,2017.8.12 0:00
교동현대 아파트,부가정보없음,지상주차장,부가정보없음,2017.8.12 0:00
설악한신 아파트,부가정보없음,2동 1라인 앞 주차장,부가정보없음,2017.8.12 0:00
현대1차 아파트,24시간,관리사무소 앞 주차장,없음,2017.8.12 0:00
공덕파크자이1단지,24시간,지하주차장 1층입구,부가정보없음,2017.8.12 0:00
대동 아파트,24시간,27동앞 지하주차장,무료,2017.8.12 0:00
"한양2,3차 아파트",24시간,32동 뒤편 주차장,무료,2017.8.12 0:00
목동트윈빌,24시간,지하3층 바로 좌측 A02 기둥,없음,2017.7.4 0:00
푸른마을2단지,24시간,지하주차장 3층/ a02기둥,없음,2017.7.4 0:00
화곡초록 아파트,24시간,103동 입구 주차장 지하1층,없음,2017.7.4 0:00
보라매삼성 아파트,24시간,지하3층(변전실에서40m),관리사무소,2017.7.4 0:00
사당롯데캐슬샤인,24시간,지하2층 변전실B1에서 100m 213 기둥,관리사무소,2017.7.4 0:00
방배3차e편한세상,24시간,지하주차장/B1-502,부가정보없음,2017.7.4 0:00
청구한라 아파트,24시간,지하1층 주차장 블럭B03 (205동,부가정보없음,2017.8.12 0:00
용현엑슬루타워 아파트,미개방,지하3층 주차장 20-21구역,없음,2017.7.4 0:00
성호2-1차 아파트,24시간,(실내지하)202동 앞 지하1층 우측,0,2017.7.4 0:00
경주푸르지오 아파트,24시간,104동 지하 1층,입주민 출입가능,2017.7.4 0:00
청주지사,06시 ~ 23시,부가정보없음,부가정보없음,2016.10.27 0:00
서산지사,주중/주말 : 24시간,지상주차장 우측,충전시 무료,2016.10.27 0:00
함양지사,24시간,지상주차장,충전시 무료,2016.10.27 0:00
남부산지사,24시간,1층 주차장 끝쪽,충전시 무료,2016.10.27 0:00
청라푸르지오 아파트,24시간,지하1층 B38,부가정보없음,2017.7.9 0:00
큰마을 아파트,24시간  ※외부인 개방,지상주차장,0,2017.8.12 0:00
반달마을푸르지오,24시간,지상주차장 307동 입구 인근,부가정보없음,2017.7.4 0:00
성복힐스테이트1차,24시간,105동 B2F 25,부가정보없음,2017.7.4 0:00
칠곡 효성해링턴 플레이스1단지,부가정보없음,101동과 102동사이 구내주차장,부가정보없음,2017.8.12 0:00
대우유로카운티아파트,24시간,지하3층,부가정보없음,2017.10.24 17:11
대전시립연정국악원 주차장,24시간,지상주차장,3시간무료,2017.10.26 15:38
양주금광1차아파트,24시간  ※외부인 개방,107동 P2 지하주차장 1층,부가정보없음,2017.10.27 11:58
푸른마을6단지 풍림아이원 아파트,24시간,입구 왼쪽지하1층 기둥번호A51,부가정보없음,2017.10.27 11:58
부영그린타운5단지,24시간  ※외부인 개방,"(부채꼴중앙 관리소쪽 주차장) 지하1층 B22,23구역",0,2017.10.27 11:58
강동롯데캐슬퍼스트아파트,부가정보없음,부가정보없음,부가정보없음,2017.10.27 11:58
서울신용보증재단,24시간,지상주차장,무료(서울신용보증재단 주차규정에 따름),2021.9.16 9:53
여수 대포리 졸음쉼터,주중/주말 : 24시간,(실외완전노출) 엑스포대로 여수방향,주차비 없음,2017.2.27 0:00
서초네이처힐1단지,24시간,지하주차장/B1-102동08,부가정보없음,2017.7.4 0:00
서초네이처힐7단지,24시간,지하주차장/B2-05,부가정보없음,2017.7.4 0:00
서초롯데캐슬84,24시간,지하2층 주차장/H-9,부가정보없음,2017.7.4 0:00
타워팰리스1차,24시간,지하5층 96기둥,부가정보없음,2017.7.4 0:00
태산아파트,24시간,101동 옆 지상주차장,부가정보없음,2017.7.4 0:00
동부아파트,24시간,102동 앞 지상주차장,0,2017.7.4 0:00
오산세교꿈에그린13,24시간,1307동 B1F 150,0,2017.7.4 0:00
래미안부천중동,24시간,지하주차장,부가정보없음,2017.8.12 0:00
세원테마빌,24시간  ※외부인 개방,지하주차장(202동 앞),부가정보없음,2017.8.12 0:00
청원신성미소지움 아파트,24시간  ※외부인 개방,지하주차장(102동 밑),부가정보없음,2017.8.12 0:00
청주푸르지오캐슬 아파트1단지,24시간  ※외부인 개방,"지하1층(117동 입구, D03)",0,2017.8.12 0:00
프리미엄뷰 아파트,24시간  ※외부인 개방,102동 주차장,부가정보없음,2017.8.12 0:00
LH쌍용예가 아파트,24시간  ※외부인 개방,지하 2층 B25구역 주차 4면,0,2017.8.12 0:00
시범호반베르디움아파트,24시간,B2F 05,0,2017.7.9 0:00
청라린스트라우스 아파트,24시간,지하1층 O27,부가정보없음,2017.8.12 0:00
양구 보배 아파트,24시간,관리사무소 옆 놀이터 앞 주차장,없음,2017.8.12 0:00
마곡수명산파크5단지,24시간,지하1층 509동 E08 기둥,없음,2017.7.4 0:00
방배아이파크 아파트,24시간,지하주차장/B1-69,부가정보없음,2017.7.4 0:00
신성미소지움2차아파트,24시간,B1F B35,0,2017.7.4 0:00
명륜아남1차 아파트,24시간,"지하1층주차장(102동,103동사이)",없음,2017.7.4 0:00
프라임로즈,24시간  ※외부인 개방,지상 주차장,부가정보없음,2017.7.4 0:00
힐스테이트황금산,24시간  ※외부인 개방,지하주차장 지하3층 113동 E19구,0,2017.8.12 0:00
잠실엘스아파트,부가정보없음,부가정보없음,부가정보없음,2017.10.27 11:58
힐스테이트상도프레스티지,24,주차장 진입 후 바로 우측,관리사무소,2017.10.27 11:58
안산푸르지오6차아파트,24시간,제 5주차장 B1F B01,0,2017.10.27 11:58
은평상림5단지,부가정보없음,부가정보없음,부가정보없음,2017.10.27 11:58
마포래미안푸르지오 2단지,06~23시,지하주차장 3층 61번기둥,미개방,2017.10.27 11:58
마포래미안푸르지오 3단지,24시간,지하주차장 3층 33번기둥,미개방,2017.10.27 11:58
정릉풍림아이원,24시간,"110동 지하2층 1,2라인",거주민 전용,2017.10.27 11:58
능서면복지회관,24시간,능서레포츠공원 주차장,무료,2021.11.3 10:48
오학동 행정복지센터,24시간,오학동 행정복지센터,무료,2021.11.3 11:30
후곡14단지청구 아파트,24시간,입구왼쪽 지하주차장,부가정보없음,2017.8.12 0:00
후곡18단지현대 아파트,24시간,1812동앞 지하주차장32번기둥,부가정보없음,2017.8.12 0:00
평내상록데시앙 아파트,24시간  ※외부인 개방,1608동 지하2층,0,2017.8.12 0:00
화도효성해링턴플레이스,24시간  ※외부인 개방,지하주차장 지하1층 09구역,0,2017.8.12 0:00
거여5단지 아파트,24시간,502동앞 주차장 지하1층,부가정보없음,2017.8.12 0:00
성내삼성 아파트,24시간,"1단지 지하2층 67,68기둥",무,2017.8.12 0:00
대우신림2차푸르지오,24,전기실 옆 105동 지하1층,관리사무소,2017.8.12 0:00
동작상떼빌 아파트,24,지하3층 103동 옆,관리사무소,2017.8.12 0:00
신림쌍용 아파트,24시간,지하4층 전기실 옆,입주민 무료,2017.8.12 0:00
내수덕일한마음 아파트,24시간,104동 지하1층주차장 좌측,부가정보없음,2017.8.12 0:00
삼성동 에스케이뷰 아파트,24시간,지하2층 출구 앞,부가정보없음,2017.7.4 0:00
증평대성베르힐,24시간  ※외부인 개방,지하1층주차장 108동 0820,충전시 무료,2017.8.12 0:00
금강엑슬루타워 아파트,부가정보없음,107동 지하1층 주차장,부가정보없음,2017.8.12 0:00
신동아파밀리에 아파트,24시간,103동 지하1층 주차장,0,2017.8.12 0:00
은어송마을2단지 아파트,24시간,209동 지하1층 주차장,0,2017.8.12 0:00
창신두산 아파트,24시간,지하1층 주차장,없음,2017.7.9 0:00
창신쌍용2단지 아파트,24시간,207동 지하2층 9번기둥,없음,2017.7.9 0:00
창신이수 아파트,24시간,101동 지하2층 2번기둥,없음,2017.7.9 0:00
효성주얼리시티,24시간,지하5층주차장,없음,2017.7.9 0:00
래미안미아1차 아파트,24시간,B2층 103동 3-4호 44번기둥,거주민전용,2017.7.9 0:00
포천지사,주중/주말 : 06시~23시,1층주차장(입구에서 좌측),충전시 주차비 면제,2017.2.27 0:00
태안지사,24시간,정문에서 좌측 지상주차장,충전시 무료,2017.2.27 0:00
올리브힐,24시간,지하주차장,0,2017.7.9 0:00
용연마을휴먼시아2단지 아파트,24시간,지하주차장,0,2017.7.9 0:00
경기직할,24시간,"본관 정면 지상주차장, 별관 후면 지상주차장",충전시 무료,2016.10.27 0:00
보건환경연구원,24시간,정문 주차장,0,2017.10.23 15:53
송정동주민센터,24시간,송정동주민센터 입구,무료,2017.9.19 16:25
양평현대성우1단지,부가정보없음,지하주차장,부가정보없음,2017.8.25 0:00
한라비발디루트 아파트,24시간  ※외부인 개방,지하3층 주차장,부가정보없음,2017.8.25 0:00
호원두산 아파트,24시간  ※외부인 개방,"지하2층 C-13구역 #87, 88",부가정보없음,2017.8.25 0:00
뜨란채주공7단지,부가정보없음,지상주차장,부가정보없음,2017.8.25 0:00
강일리버파크3단지,24시간,303동 앞 지하1층 바로 좌측 B70기둥,입주자,2017.8.25 0:00
리센츠 아파트,24시간,지하2층 241동 076 기둥,부가정보없음,2017.8.25 0:00
송파파인타운7단지,24시간,702동앞 지하1층 좌측 (A07) 기둥,부가정보없음,2017.8.25 0:00
신흥아이파크 아파트,미개방,109동 앞 제4주차장 지하1층 12-13구역,없음,2017.7.4 0:00
웰리치시지,24시간,103동 지하 1층,부가정보없음,2017.8.12 0:00
라이프 아파트,24시간,아파트 내 노인정 옆,0,2017.8.12 0:00
이마트 경산점,06~23시,이마트 주차장,부가정보없음,2017.10.18 16:23
회천1동 주민센타 공용주차장,06~23시,부가정보없음,부가정보없음,2017.10.18 16:45
